"_id","_index","_score","_type","device_cid",id,"phenomenonTime.instant","result.valueLocationGps","result.valueNumeric",resultTime
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/location/location/2022-06-11T07:50:00.898-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location/2022-06-11T07:50:00.898-04:00","Jun 11, 2022 @ 07:50:00.898 -04:00","{
  ""coordinates"": [
    45.34309511665646,
    -71.84454832835586
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 07:50:01.900 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/location/location/2022-06-11T07:45:00.814-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location/2022-06-11T07:45:00.814-04:00","Jun 11, 2022 @ 07:45:00.814 -04:00","{
  ""coordinates"": [
    45.34309467583017,
    -71.84454785514693
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 07:45:01.811 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/location/location/2022-06-11T07:40:00.716-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location/2022-06-11T07:40:00.716-04:00","Jun 11, 2022 @ 07:40:00.716 -04:00","{
  ""coordinates"": [
    45.34309067841375,
    -71.84454356408442
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 07:40:01.711 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/location/location/2022-06-11T07:35:00.626-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location/2022-06-11T07:35:00.626-04:00","Jun 11, 2022 @ 07:35:00.626 -04:00","{
  ""coordinates"": [
    45.34309371449114,
    -71.84454682318894
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 07:35:01.625 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/heartRate/heartRate/2022-06-11T07:31:04.383-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/heartRate/heartRate/2022-06-11T07:31:04.383-04:00","Jun 11, 2022 @ 07:31:04.383 -04:00","-",72,"Jun 11, 2022 @ 07:31:07.761 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/location/location/2022-06-11T07:30:00.524-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location/2022-06-11T07:30:00.524-04:00","Jun 11, 2022 @ 07:30:00.524 -04:00","{
  ""coordinates"": [
    45.34309370369859,
    -71.84454681160356
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 07:30:01.520 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/location/location/2022-06-11T07:25:00.438-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location/2022-06-11T07:25:00.438-04:00","Jun 11, 2022 @ 07:25:00.438 -04:00","{
  ""coordinates"": [
    45.34309416372732,
    -71.84454730542554
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 07:25:01.432 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/location/location/2022-06-11T07:24:45.789-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location/2022-06-11T07:24:45.789-04:00","Jun 11, 2022 @ 07:24:45.789 -04:00","{
  ""coordinates"": [
    45.34309189045461,
    -71.84454486516056
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 07:25:01.431 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/location/location/2022-06-11T07:20:00.332-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location/2022-06-11T07:20:00.332-04:00","Jun 11, 2022 @ 07:20:00.332 -04:00","{
  ""coordinates"": [
    45.34309018944599,
    -71.84454303919759
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 07:20:01.331 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Navy/80657C292D91/location/location/2022-06-11T07:15:00.250-04:00","om-80657c292d91-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Navy/80657C292D91/location/location/2022-06-11T07:15:00.250-04:00","Jun 11, 2022 @ 07:15:00.250 -04:00","{
  ""coordinates"": [
    45.34307876803479,
    -71.8445307787813
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 07:15:01.243 -04:00"
