"_id","_index","_score","_type","device_cid",id,"phenomenonTime.instant","result.valueLocationGps","result.valueNumeric",resultTime
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:08:27.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:08:27.490-04:00","Jun 10, 2022 @ 06:08:27.490 -04:00","-",67,"Jun 10, 2022 @ 06:08:31.173 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:08:16.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:08:16.490-04:00","Jun 10, 2022 @ 06:08:16.490 -04:00","-",68,"Jun 10, 2022 @ 06:08:21.105 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:08:09.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:08:09.490-04:00","Jun 10, 2022 @ 06:08:09.490 -04:00","-",68,"Jun 10, 2022 @ 06:08:11.034 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:59.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:59.490-04:00","Jun 10, 2022 @ 06:07:59.490 -04:00","-",69,"Jun 10, 2022 @ 06:08:01.968 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:49.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:49.490-04:00","Jun 10, 2022 @ 06:07:49.490 -04:00","-",68,"Jun 10, 2022 @ 06:07:51.885 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:44.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:44.490-04:00","Jun 10, 2022 @ 06:07:44.490 -04:00","-",69,"Jun 10, 2022 @ 06:07:46.836 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:28.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:28.490-04:00","Jun 10, 2022 @ 06:07:28.490 -04:00","-",70,"Jun 10, 2022 @ 06:07:31.746 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:23.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:23.490-04:00","Jun 10, 2022 @ 06:07:23.490 -04:00","-",69,"Jun 10, 2022 @ 06:07:26.703 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:07.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:07:07.490-04:00","Jun 10, 2022 @ 06:07:07.490 -04:00","-",70,"Jun 10, 2022 @ 06:07:11.601 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:06:56.490-04:00","om-645a368bb8d5-2022-02-28","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 Black/645A368BB8D5/heartRate/heartRate/2022-06-10T06:06:56.490-04:00","Jun 10, 2022 @ 06:06:56.490 -04:00","-",69,"Jun 10, 2022 @ 06:07:01.534 -04:00"
