"_id","_index","_score","_type","device_cid",id,"phenomenonTime.instant","result.valueLocationGps","result.valueNumeric",resultTime
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T01:40:00.839-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T01:40:00.839-04:00","Jun 11, 2022 @ 01:40:00.839 -04:00","{
  ""coordinates"": [
    45.3799693947063,
    -71.92652707026731
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 01:40:01.673 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T01:35:00.521-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T01:35:00.521-04:00","Jun 11, 2022 @ 01:35:00.521 -04:00","{
  ""coordinates"": [
    45.37996297958539,
    -71.926517842099
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 01:35:01.377 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:34:58.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:34:58.621-04:00","Jun 11, 2022 @ 01:34:58.621 -04:00","-",114,"Jun 11, 2022 @ 01:35:06.415 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:33:20.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:33:20.621-04:00","Jun 11, 2022 @ 01:33:20.621 -04:00","-",115,"Jun 11, 2022 @ 01:33:25.630 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:33:03.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:33:03.621-04:00","Jun 11, 2022 @ 01:33:03.621 -04:00","-",116,"Jun 11, 2022 @ 01:33:12.542 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:32:34.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:32:34.621-04:00","Jun 11, 2022 @ 01:32:34.621 -04:00","-",117,"Jun 11, 2022 @ 01:32:42.304 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:32:18.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:32:18.621-04:00","Jun 11, 2022 @ 01:32:18.621 -04:00","-",117,"Jun 11, 2022 @ 01:32:28.177 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:32:08.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:32:08.621-04:00","Jun 11, 2022 @ 01:32:08.621 -04:00","-",114,"Jun 11, 2022 @ 01:32:15.086 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:32:02.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:32:02.621-04:00","Jun 11, 2022 @ 01:32:02.621 -04:00","-",118,"Jun 11, 2022 @ 01:32:06.019 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:30:25.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:30:25.621-04:00","Jun 11, 2022 @ 01:30:25.621 -04:00","-",113,"Jun 11, 2022 @ 01:30:31.291 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:30:02.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:30:02.621-04:00","Jun 11, 2022 @ 01:30:02.621 -04:00","-",112,"Jun 11, 2022 @ 01:30:08.120 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T01:30:01.398-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T01:30:01.398-04:00","Jun 11, 2022 @ 01:30:01.398 -04:00","{
  ""coordinates"": [
    45.37995555010929,
    -71.92652254881766
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 01:30:02.081 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:29:51.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:29:51.621-04:00","Jun 11, 2022 @ 01:29:51.621 -04:00","-",111,"Jun 11, 2022 @ 01:29:55.979 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T01:25:00.926-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T01:25:00.926-04:00","Jun 11, 2022 @ 01:25:00.926 -04:00","{
  ""coordinates"": [
    45.379951895010684,
    -71.92652325950475
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 01:25:01.779 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:21:01.621-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/heartRate/heartRate/2022-06-11T01:21:01.621-04:00","Jun 11, 2022 @ 01:21:01.621 -04:00","-",97,"Jun 11, 2022 @ 01:21:05.969 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T01:20:00.634-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T01:20:00.634-04:00","Jun 11, 2022 @ 01:20:00.634 -04:00","{
  ""coordinates"": [
    45.379960892662844,
    -71.92652682803786
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 01:20:01.461 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T01:15:00.354-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T01:15:00.354-04:00","Jun 11, 2022 @ 01:15:00.354 -04:00","{
  ""coordinates"": [
    45.37995752704805,
    -71.9265239254343
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 01:15:01.206 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T01:10:01.053-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T01:10:01.053-04:00","Jun 11, 2022 @ 01:10:01.053 -04:00","{
  ""coordinates"": [
    45.37995136159477,
    -71.92651782805524
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 01:10:01.899 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T01:05:00.763-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T01:05:00.763-04:00","Jun 11, 2022 @ 01:05:00.763 -04:00","{
  ""coordinates"": [
    45.37995837625323,
    -71.92653635285066
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 01:05:01.616 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T01:00:00.455-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T01:00:00.455-04:00","Jun 11, 2022 @ 01:00:00.455 -04:00","{
  ""coordinates"": [
    45.379965518353806,
    -71.92652855124807
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 01:00:01.294 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T00:55:01.155-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T00:55:01.155-04:00","Jun 11, 2022 @ 00:55:01.155 -04:00","{
  ""coordinates"": [
    45.37995571848121,
    -71.92650600313333
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 00:55:02.006 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T00:50:00.820-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T00:50:00.820-04:00","Jun 11, 2022 @ 00:50:00.820 -04:00","{
  ""coordinates"": [
    45.379957579418196,
    -71.92652158752894
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 00:50:01.665 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W2/C0444261BC7B/location/location/2022-06-11T00:45:00.526-04:00","om-c0444261bc7b-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W2/C0444261BC7B/location/location/2022-06-11T00:45:00.526-04:00","Jun 11, 2022 @ 00:45:00.526 -04:00","{
  ""coordinates"": [
    45.37997342156556,
    -71.92654404810072
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 00:45:01.366 -04:00"
