"_id","_index","_score","_type","device_cid",id,"phenomenonTime.instant","result.valueLocationGps","result.valueNumeric",resultTime
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T21:25:00.802-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T21:25:00.802-04:00","Jun 13, 2022 @ 21:25:00.802 -04:00","{
  ""coordinates"": [
    45.34332656009347,
    -71.84532927997326
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 21:25:01.799 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T21:20:00.730-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T21:20:00.730-04:00","Jun 13, 2022 @ 21:20:00.730 -04:00","{
  ""coordinates"": [
    45.3433265601076,
    -71.84532927996922
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 21:20:01.726 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T21:15:00.657-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T21:15:00.657-04:00","Jun 13, 2022 @ 21:15:00.657 -04:00","{
  ""coordinates"": [
    45.34332656024114,
    -71.84532927993106
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 21:15:01.656 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T21:10:00.598-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T21:10:00.598-04:00","Jun 13, 2022 @ 21:10:00.598 -04:00","{
  ""coordinates"": [
    45.34332656012182,
    -71.84532927996516
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 21:10:01.595 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T21:05:00.526-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T21:05:00.526-04:00","Jun 13, 2022 @ 21:05:00.526 -04:00","{
  ""coordinates"": [
    45.34332656013609,
    -71.84532927996109
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 21:05:01.516 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T21:00:00.480-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T21:00:00.480-04:00","Jun 13, 2022 @ 21:00:00.480 -04:00","{
  ""coordinates"": [
    45.343326559785,
    -71.8453292800614
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 21:00:01.461 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T20:55:00.382-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T20:55:00.382-04:00","Jun 13, 2022 @ 20:55:00.382 -04:00","{
  ""coordinates"": [
    45.34332655857503,
    -71.84532928040717
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 20:55:01.381 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T20:50:00.330-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T20:50:00.330-04:00","Jun 13, 2022 @ 20:50:00.330 -04:00","{
  ""coordinates"": [
    45.34332654730008,
    -71.8453292836292
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 20:50:01.328 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T20:45:00.258-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T20:45:00.258-04:00","Jun 13, 2022 @ 20:45:00.258 -04:00","{
  ""coordinates"": [
    45.343326533870034,
    -71.84532928746707
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 20:45:01.258 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:40:37.946-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:40:37.946-04:00","Jun 13, 2022 @ 20:40:37.946 -04:00","-",78,"Jun 13, 2022 @ 20:40:41.310 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:40:33.946-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:40:33.946-04:00","Jun 13, 2022 @ 20:40:33.946 -04:00","-",79,"Jun 13, 2022 @ 20:40:36.288 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:40:18.946-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:40:18.946-04:00","Jun 13, 2022 @ 20:40:18.946 -04:00","-",85,"Jun 13, 2022 @ 20:40:21.242 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:40:12.946-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:40:12.946-04:00","Jun 13, 2022 @ 20:40:12.946 -04:00","-",84,"Jun 13, 2022 @ 20:40:17.222 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T20:40:00.188-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T20:40:00.188-04:00","Jun 13, 2022 @ 20:40:00.188 -04:00","{
  ""coordinates"": [
    45.343326454726906,
    -71.84532931008364
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 20:40:01.178 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:38:45.946-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:38:45.946-04:00","Jun 13, 2022 @ 20:38:45.946 -04:00","-",80,"Jun 13, 2022 @ 20:38:51.908 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:37:00.946-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/heartRate/heartRate/2022-06-13T20:37:00.946-04:00","Jun 13, 2022 @ 20:37:00.946 -04:00","-",85,"Jun 13, 2022 @ 20:37:05.532 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T20:35:00.077-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T20:35:00.077-04:00","Jun 13, 2022 @ 20:35:00.077 -04:00","{
  ""coordinates"": [
    45.34329985999999,
    -71.84533690999997
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 20:35:01.075 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T20:30:01.037-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T20:30:01.037-04:00","Jun 13, 2022 @ 20:30:01.037 -04:00","{
  ""coordinates"": [
    45.34329985999999,
    -71.84533690999997
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 20:30:02.034 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T20:25:00.967-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T20:25:00.967-04:00","Jun 13, 2022 @ 20:25:00.967 -04:00","{
  ""coordinates"": [
    45.34329985999999,
    -71.84533690999997
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 20:25:01.966 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T20:20:00.922-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T20:20:00.922-04:00","Jun 13, 2022 @ 20:20:00.922 -04:00","{
  ""coordinates"": [
    45.34329985999999,
    -71.84533690999997
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 20:20:01.918 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+G/60DD7035DD76/location/location/2022-06-13T20:15:00.776-04:00","om-60dd7035dd76-2022-04-06","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 G/60DD7035DD76/location/location/2022-06-13T20:15:00.776-04:00","Jun 13, 2022 @ 20:15:00.776 -04:00","{
  ""coordinates"": [
    45.34329985999999,
    -71.84533690999997
  ],
  ""type"": ""Point""
}",0,"Jun 13, 2022 @ 20:15:00.842 -04:00"
