"_id","_index","_score","_type","device_cid",id,"phenomenonTime.instant","result.valueLocationGps","result.valueNumeric",resultTime
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-11T00:00:00.275-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-11T00:00:00.275-04:00","Jun 11, 2022 @ 00:00:00.275 -04:00","{
  ""coordinates"": [
    45.34344481999998,
    -71.84516142999999
  ],
  ""type"": ""Point""
}",0,"Jun 11, 2022 @ 00:00:01.275 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-10T23:55:00.248-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-10T23:55:00.248-04:00","Jun 10, 2022 @ 23:55:00.248 -04:00","{
  ""coordinates"": [
    45.34344481999998,
    -71.84516142999999
  ],
  ""type"": ""Point""
}",0,"Jun 10, 2022 @ 23:55:01.243 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-10T23:50:00.224-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-10T23:50:00.224-04:00","Jun 10, 2022 @ 23:50:00.224 -04:00","{
  ""coordinates"": [
    45.34344481999998,
    -71.84516142999998
  ],
  ""type"": ""Point""
}",0,"Jun 10, 2022 @ 23:50:01.220 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-10T23:45:00.208-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-10T23:45:00.208-04:00","Jun 10, 2022 @ 23:45:00.208 -04:00","{
  ""coordinates"": [
    45.34344481999999,
    -71.8451614300002
  ],
  ""type"": ""Point""
}",0,"Jun 10, 2022 @ 23:45:01.206 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-10T23:40:00.180-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-10T23:40:00.180-04:00","Jun 10, 2022 @ 23:40:00.180 -04:00","{
  ""coordinates"": [
    45.343444819999974,
    -71.84516142999938
  ],
  ""type"": ""Point""
}",0,"Jun 10, 2022 @ 23:40:01.173 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-10T23:35:00.162-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-10T23:35:00.162-04:00","Jun 10, 2022 @ 23:35:00.162 -04:00","{
  ""coordinates"": [
    45.34344482000021,
    -71.84516143001383
  ],
  ""type"": ""Point""
}",0,"Jun 10, 2022 @ 23:35:01.152 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-10T23:30:00.134-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-10T23:30:00.134-04:00","Jun 10, 2022 @ 23:30:00.134 -04:00","{
  ""coordinates"": [
    45.34344481999907,
    -71.84516142994313
  ],
  ""type"": ""Point""
}",0,"Jun 10, 2022 @ 23:30:01.131 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-10T23:25:00.092-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-10T23:25:00.092-04:00","Jun 10, 2022 @ 23:25:00.092 -04:00","{
  ""coordinates"": [
    45.343444819985486,
    -71.84516142909592
  ],
  ""type"": ""Point""
}",0,"Jun 10, 2022 @ 23:25:01.087 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-10T23:20:01.038-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-10T23:20:01.038-04:00","Jun 10, 2022 @ 23:20:01.038 -04:00","{
  ""coordinates"": [
    45.34344481999998,
    -71.84516142999999
  ],
  ""type"": ""Point""
}",0,"Jun 10, 2022 @ 23:20:02.033 -04:00"
"GatewayServer/0050569FC8E5/https/443/Apple+Watch+7+W/C0444258ECD0/location/location/2022-06-10T23:19:37.654-04:00","om-c0444258ecd0-2022-06-07","-","_doc","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location","GatewayServer/0050569FC8E5/https/443/Apple Watch 7 W/C0444258ECD0/location/location/2022-06-10T23:19:37.654-04:00","Jun 10, 2022 @ 23:19:37.654 -04:00","{
  ""coordinates"": [
    45.34344481999998,
    -71.84516142999999
  ],
  ""type"": ""Point""
}",0,"Jun 10, 2022 @ 23:20:02.030 -04:00"
